image_id,width,height,xmin,ymin,xmax,ymax,label
01_012_01012001_160448635580781_0,4608,3456,1430,813,3531,2785,잡곡밥
02_021_02011034_160318072711998_0,4000,3000,1209,516,3002,2409,크림파스타
06_062_06012004_160276148265185,4032,3024,608,784,3547,2197,떡갈비
08_084_08014001_160474542070584_0,4032,1908,875,8,2867,1905,떡볶이
10_102_10012003_160508777675598_1,3831,2268,1784,239,3293,1142,돈까스
09_091_09011002_160889897116276_0,4248,5664,908,2087,3505,4149,갈치조림
04_042_04012008_161023665698012_0,3024,4032,595,903,2657,2951,시레기된장국
01_012_01012001_160491871910194_1,4032,1908,932,165,2896,1482,잡곡밥
02_021_02011027_160483981072022_1,960,720,126,114,863,596,짜장면
01_011_01011001_160428457539737_1,3024,3024,39,234,2985,2745,쌀밥
01_011_01011001_160328697551811_0,2223,2249,223,297,2059,1991,쌀밥
10_102_10012003_160498720938279_1,2062,1608,55,510,1834,1313,돈까스
02_021_02011027_160930980846020_1,4032,3024,763,595,3741,1902,짜장면
01_014_01014005_161055466319259_1,4032,3024,837,661,3275,2256,비빔밥
04_042_04012008_161017692612437_0,3120,3120,609,756,2492,2576,시레기된장국
04_042_04012008_161002657920203_0,3024,3024,593,676,2508,2514,시레기된장국
01_014_01014001_160610902344511_1,4032,3024,1028,485,3171,2232,김치볶음밥
02_021_02011034_160544001996128_0,3046,2954,717,725,2132,2140,크림파스타
08_084_08014001_160588148843492_0,3024,4032,588,1045,2216,2674,떡볶이
06_062_06012004_160586210081716_0,2322,4128,375,992,1891,2502,떡갈비
02_021_02011027_160777954297661_0,2903,1663,312,166,2588,1484,짜장면
04_042_04012008_161015874742316_1,4248,5664,878,2718,3116,4388,시레기된장국
01_014_01014001_160457303929893_1,3024,3024,0,400,2877,2704,김치볶음밥
01_014_01014005_161063401899490_1,2992,2992,363,416,2539,1661,비빔밥
02_021_02011027_160602393129815_0,2997,3199,311,372,2664,2665,짜장면
06_062_06012004_160491611189092_0,3024,4032,567,350,2472,3028,떡갈비
01_012_01012001_160514895626682_0,3024,3024,0,155,2771,2949,잡곡밥
09_091_09011002_160906195493414_0,3024,4032,849,1369,2417,2719,갈치조림
01_014_01014001_160519468682049_0,3024,4032,705,897,2288,2632,김치볶음밥
01_014_01014005_161054993962334_1,3024,4032,554,1026,2413,2371,비빔밥
09_091_09011002_161006482465983_1,960,720,405,96,759,441,갈치조림
02_021_02011034_160653549218753_0,3024,4032,139,794,2858,2767,크림파스타
01_012_01012001_160455294276560_1,4032,3024,1061,720,3125,2053,잡곡밥
09_091_09011002_161156801369260_0,4032,3024,1259,560,2814,2368,갈치조림
01_011_01011001_160412059773914_1,4032,3024,885,592,3216,2533,쌀밥
01_012_01012001_160526537263352_0,2848,2136,565,221,2279,1876,잡곡밥
01_012_01012001_160541581690540_0,3120,3120,587,570,2452,2504,잡곡밥
06_062_06012004_160946477288652_1,960,960,224,193,656,591,떡갈비
09_091_09011002_160666838597641_0,3024,4032,232,654,2692,3086,갈치조림
02_021_02011027_160325918928917_1,3024,3024,530,848,2427,2405,짜장면
06_062_06012004_160525729379309_1,2272,1582,525,232,1825,1183,떡갈비
01_012_01012001_160559443180743_1,2419,1685,557,165,2220,1371,잡곡밥
01_011_01011001_160437644328155_1,1092,940,160,103,1057,884,쌀밥
04_042_04012008_160949278161799_1,3024,3024,680,869,2499,2213,시레기된장국
10_102_10012002_160769691838138_0,3456,3456,350,384,3063,3078,치킨
01_011_01011001_160414963283011_1,4608,3456,908,518,3919,2517,쌀밥
10_102_10012003_160549994354612_1,720,960,65,143,669,667,돈까스
02_021_02011027_160389667599614_0,3024,4032,591,1035,2371,2883,짜장면
01_014_01014005_161067089672530_1,2448,3264,263,1376,2272,2665,비빔밥
02_021_02011027_160687230614983_1,4032,3024,549,459,3451,2208,짜장면
01_014_01014005_161054967741841_0,3024,4032,573,1273,2529,2901,비빔밥
01_012_01012001_160446151197103_1,4608,3456,820,129,4547,1538,잡곡밥
02_021_02011034_160949050176130_0,4248,5664,614,1222,3401,4542,크림파스타
10_102_10012003_160738461932656_1,3024,3024,547,912,2515,2021,돈까스
